City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
206,Resistencia,AR,84.09,overcast clouds,-27.4606,-58.9839,
207,Dakar,SN,74.28,overcast clouds,14.6937,-17.4441,
208,Isla Mujeres,MX,80.65,clear sky,21.2311,-86.731,
210,Atar,MR,75.07,scattered clouds,20.5169,-13.0499,
212,Cam Ranh,VN,73.36,few clouds,11.9214,109.1591,
215,General Roca,AR,77.4,scattered clouds,-39.0333,-67.5833,
216,Moree,AU,73.42,clear sky,-29.4667,149.85,
218,Jaguarari,BR,68.41,overcast clouds,-10.2639,-40.1958,
220,Itarema,BR,81.18,broken clouds,-2.9248,-39.9167,
223,Jiwani,PK,76.12,clear sky,25.05,61.7417,
226,Sao Joao Da Barra,BR,77.09,few clouds,-21.6403,-41.0511,
227,Iguape,BR,73.85,few clouds,-24.7081,-47.5553,
228,Beloha,MG,74.52,clear sky,-25.1667,45.05,
231,Kutum,SD,69.84,clear sky,14.2,24.6667,
232,Catalao,BR,76.03,overcast clouds,-18.1658,-47.9464,
234,Dicabisagan,PH,71.6,overcast clouds,17.0818,122.4157,
242,Capela Do Alto,BR,72.34,few clouds,-23.4706,-47.7347,
244,Ihosy,MG,70.39,clear sky,-22.4,46.1167,
247,Mangai,CD,71.15,overcast clouds,-4.05,19.5333,
251,Porlamar,VE,87.89,broken clouds,10.958,-63.8491,
253,Cayenne,GF,77.09,overcast clouds,4.9333,-52.3333,
258,Blackwater,AU,77.67,clear sky,-23.5833,148.8833,
259,Cidreira,BR,70.68,overcast clouds,-30.1811,-50.2056,
260,Miri,MY,75.33,broken clouds,4.4148,114.0089,
261,Nanakuli,US,76.71,light rain,21.3906,-158.1547,
262,Victoria,HK,65.32,overcast clouds,22.2855,114.1577,
263,Itaberaba,BR,74.03,broken clouds,-12.5275,-40.3069,
266,Namwala,ZM,77.0,scattered clouds,-15.7504,26.4384,
269,Bandarbeyla,SO,76.53,scattered clouds,9.4942,50.8122,
273,Harper,LR,80.02,clear sky,4.375,-7.7169,
274,Emure,NG,77.23,overcast clouds,7.4361,5.4593,
275,Kapit,MY,73.11,broken clouds,2.0167,112.9333,
277,Gashua,NG,75.31,clear sky,12.871,11.0482,
279,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,
280,Butaritari,KI,83.05,few clouds,3.0707,172.7902,
282,Talara,PE,74.16,clear sky,-4.5772,-81.2719,
285,Vao,NC,76.32,broken clouds,-22.6667,167.4833,
286,Touros,BR,83.3,broken clouds,-5.1989,-35.4608,
287,Mayahi,NE,73.85,broken clouds,13.9553,7.6712,
288,Comodoro Rivadavia,AR,71.46,clear sky,-45.8667,-67.5,
291,Doha,QA,66.18,clear sky,25.2867,51.5333,
292,Sao Desiderio,BR,71.33,overcast clouds,-12.3633,-44.9733,
293,Tessalit,ML,68.4,broken clouds,20.1986,1.0114,
295,Sorong,ID,80.04,broken clouds,-0.8833,131.25,
296,Nautla,MX,77.85,few clouds,20.2167,-96.7833,
298,Grand Gaube,MU,78.39,broken clouds,-20.0064,57.6608,
299,Pecos,US,69.06,clear sky,31.4229,-103.4932,
301,Moyale,KE,67.28,few clouds,3.5167,39.0584,
303,Progreso,MX,86.11,scattered clouds,21.2833,-89.6667,
307,Moissala,TD,80.47,broken clouds,8.3404,17.7663,
308,Port Moresby,PG,76.75,light rain,-9.4431,147.1797,
310,Araouane,ML,70.18,overcast clouds,18.9048,-3.5265,
311,Nova Granada,BR,82.65,scattered clouds,-20.5339,-49.3142,
313,Cottonwood,US,71.35,clear sky,34.7392,-112.0099,
314,Santa Isabel,BR,73.4,broken clouds,-23.3156,-46.2214,
315,Cienfuegos,CU,84.34,clear sky,22.1461,-80.4356,
316,Micheweni,TZ,78.75,moderate rain,-4.9667,39.8333,
317,Tamandare,BR,78.64,moderate rain,-8.7597,-35.1047,
318,Banda Aceh,ID,77.4,scattered clouds,5.5577,95.3222,
320,San Patricio,US,84.29,scattered clouds,28.017,-97.5169,
