City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
141,Nelson Bay,AU,-32.7167,152.15,70.0,71,91,1.99,overcast clouds
142,Kapoeta,SS,4.7717,33.5903,84.4,37,93,12.55,overcast clouds
143,Uspenka,UA,48.3903,39.1619,32.77,99,100,10.89,snow
144,Gat,IL,31.61,34.7642,66.4,42,100,5.86,overcast clouds
145,Miyako,JP,39.6367,141.9525,32.36,71,19,8.77,few clouds
146,Novoagansk,RU,61.9449,76.6625,-3.68,96,100,3.22,overcast clouds
147,Krasnoselkup,RU,65.7,82.4667,-20.92,99,96,4.72,overcast clouds
148,Ponte De Sor,PT,39.2496,-8.0101,53.98,89,0,12.97,clear sky
149,Padang,ID,-0.9492,100.3543,77.22,90,100,0.63,overcast clouds
150,Karratha,AU,-20.7377,116.8463,85.23,31,28,13.58,scattered clouds
151,Paamiut,GL,61.994,-49.6678,36.46,80,99,39.21,light rain
152,Saint Anthony,US,45.0205,-93.218,34.56,53,90,1.99,overcast clouds
153,Gobabis,NA,-22.45,18.9667,71.85,11,59,10.42,broken clouds
154,Bambanglipuro,ID,-7.95,110.2833,63.61,90,100,5.23,moderate rain
155,Cafelandia,BR,-21.8025,-49.61,84.33,42,83,4.45,broken clouds
156,Hualmay,PE,-11.0964,-77.6139,70.27,77,96,8.7,overcast clouds
157,Labytnangi,RU,66.6572,66.4183,-28.08,94,5,2.95,clear sky
158,Sakakah,SA,29.9697,40.2064,58.44,41,44,8.32,scattered clouds
159,Corner Brook,CA,48.9667,-57.9484,30.33,68,100,17.81,light snow
160,Tual,ID,-5.6667,132.75,82.47,80,100,10.29,moderate rain
161,Huntington,US,38.4193,-82.4452,56.5,45,1,1.01,clear sky
162,Tarko-Sale,RU,64.9225,77.785,-19.91,100,66,5.3,broken clouds
163,Kalmunai,LK,7.4167,81.8167,77.52,86,1,2.77,clear sky
164,Ippy,CF,6.2679,21.2247,78.87,38,94,1.79,overcast clouds
165,Bengkulu,ID,-3.8004,102.2655,75.85,89,100,7.4,overcast clouds
166,Odweyne,SO,9.4092,45.064,60.26,68,0,8.52,clear sky
167,Campbellton,CA,48.0075,-66.6727,21.51,65,90,7.31,overcast clouds
168,Chuy,UY,-33.6971,-53.4616,67.82,79,100,9.69,overcast clouds
169,Port Augusta,AU,-32.5,137.7667,62.74,55,100,6.76,overcast clouds
170,Batemans Bay,AU,-35.7167,150.1833,61.11,75,100,3.8,overcast clouds
171,Aleksandrov Gay,RU,50.147,48.5704,43.0,92,100,15.82,overcast clouds
172,Lang Son,VN,21.8333,106.7333,52.11,62,86,2.93,overcast clouds
173,Lahij,YE,13.1667,44.5833,70.9,65,0,3.51,clear sky
174,Springbok,ZA,-29.6643,17.8865,52.2,88,84,7.56,broken clouds
175,Bonga,ET,7.2833,36.2333,61.41,65,36,1.61,scattered clouds
176,Ancud,CL,-41.8697,-73.8203,62.13,60,0,3.96,clear sky
177,Inuvik,CA,68.3499,-133.7218,-27.0,86,3,4.7,clear sky
178,Djougou,BJ,9.7085,1.666,78.8,18,100,5.26,overcast clouds
179,Dauphin,CA,51.1494,-100.0502,22.48,81,92,4.36,overcast clouds
180,Aloleng,PH,16.1307,119.7824,75.4,64,77,12.03,broken clouds
